cpt,delta,h,method,name
411.414,4.257683,0.5,0,experimento1-2
411.414,0.744184,0.8,0,experimento1-2
411.414,0.330151,1.0,0,experimento1-2
411.414,0.152875,1.25,0,experimento1-2
411.414,0.033033,2.0,0,experimento1-2
411.414,0.016838,2.5,0,experimento1-2
411.414,0.004471,4.0,0,experimento1-2
411.414,0.002849,5.0,0,experimento1-2
411.414,0.001514,6.25,0,experimento1-2
407.756,0.000603,10.0,0,experimento1-2
407.756,0.0004,12.5,0,experimento1-2
411.414,0.000185,50.0,0,experimento1-2
411.414,8.90491,0.5,1,experimento1-2
411.414,1.410964,0.8,1,experimento1-2
411.414,0.609485,1.0,1,experimento1-2
411.414,0.264269,1.25,1,experimento1-2
411.414,0.051364,2.0,1,experimento1-2
411.414,0.024955,2.5,1,experimento1-2
411.414,0.006018,4.0,1,experimento1-2
411.414,0.003399,5.0,1,experimento1-2
411.414,0.001912,6.25,1,experimento1-2
407.756,0.000641,10.0,1,experimento1-2
407.756,0.000507,12.5,1,experimento1-2
411.414,0.000171,50.0,1,experimento1-2
