cpt,delta,h,method,name
-66.3974,4.202946,0.5,0,experimento2-1
-66.3974,4.202946,0.5,0,experimento2-1
-66.3974,4.202946,0.5,0,experimento2-1
-66.3974,4.202946,0.5,0,experimento2-1
-66.3974,4.202946,0.5,0,experimento2-1
-62.0485,0.70006,0.8,0,experimento2-1
-62.0485,0.70006,0.8,0,experimento2-1
-62.0485,0.70006,0.8,0,experimento2-1
-62.0485,0.70006,0.8,0,experimento2-1
-62.0485,0.70006,0.8,0,experimento2-1
-62.0846,0.308653,1.0,0,experimento2-1
-62.0846,0.308653,1.0,0,experimento2-1
-62.0846,0.308653,1.0,0,experimento2-1
-62.0846,0.308653,1.0,0,experimento2-1
-62.0846,0.308653,1.0,0,experimento2-1
-59.7959,0.138639,1.25,0,experimento2-1
-59.7959,0.138639,1.25,0,experimento2-1
-59.7959,0.138639,1.25,0,experimento2-1
-59.7959,0.138639,1.25,0,experimento2-1
-59.7959,0.138639,1.25,0,experimento2-1
-56.3801,0.029567,2.0,0,experimento2-1
-56.3801,0.029567,2.0,0,experimento2-1
-56.3801,0.029567,2.0,0,experimento2-1
-56.3801,0.029567,2.0,0,experimento2-1
-56.3801,0.029567,2.0,0,experimento2-1
-59.6169,0.014219,2.5,0,experimento2-1
-59.6169,0.014219,2.5,0,experimento2-1
-59.6169,0.014219,2.5,0,experimento2-1
-59.6169,0.014219,2.5,0,experimento2-1
-59.6169,0.014219,2.5,0,experimento2-1
-57.6022,0.003966,4.0,0,experimento2-1
-57.6022,0.003966,4.0,0,experimento2-1
-57.6022,0.003966,4.0,0,experimento2-1
-57.6022,0.003966,4.0,0,experimento2-1
-57.6022,0.003966,4.0,0,experimento2-1
-62.6048,0.002196,5.0,0,experimento2-1
-62.6048,0.002196,5.0,0,experimento2-1
-62.6048,0.002196,5.0,0,experimento2-1
-62.6048,0.002196,5.0,0,experimento2-1
-62.6048,0.002196,5.0,0,experimento2-1
-60.9975,0.001248,6.25,0,experimento2-1
-60.9975,0.001248,6.25,0,experimento2-1
-60.9975,0.001248,6.25,0,experimento2-1
-60.9975,0.001248,6.25,0,experimento2-1
-60.9975,0.001248,6.25,0,experimento2-1
-74.9765,0.000506,10.0,0,experimento2-1
-74.9765,0.000506,10.0,0,experimento2-1
-74.9765,0.000506,10.0,0,experimento2-1
-74.9765,0.000506,10.0,0,experimento2-1
-74.9765,0.000506,10.0,0,experimento2-1
-67.3375,0.000376,12.5,0,experimento2-1
-67.3375,0.000376,12.5,0,experimento2-1
-67.3375,0.000376,12.5,0,experimento2-1
-67.3375,0.000376,12.5,0,experimento2-1
-67.3375,0.000376,12.5,0,experimento2-1
-66.3974,8.723368,0.5,1,experimento2-1
-66.3974,8.723368,0.5,1,experimento2-1
-66.3974,8.723368,0.5,1,experimento2-1
-66.3974,8.723368,0.5,1,experimento2-1
-66.3974,8.723368,0.5,1,experimento2-1
-62.0485,1.371278,0.8,1,experimento2-1
-62.0485,1.371278,0.8,1,experimento2-1
-62.0485,1.371278,0.8,1,experimento2-1
-62.0485,1.371278,0.8,1,experimento2-1
-62.0485,1.371278,0.8,1,experimento2-1
-62.0846,0.616705,1.0,1,experimento2-1
-62.0846,0.616705,1.0,1,experimento2-1
-62.0846,0.616705,1.0,1,experimento2-1
-62.0846,0.616705,1.0,1,experimento2-1
-62.0846,0.616705,1.0,1,experimento2-1
-59.7959,0.25604,1.25,1,experimento2-1
-59.7959,0.25604,1.25,1,experimento2-1
-59.7959,0.25604,1.25,1,experimento2-1
-59.7959,0.25604,1.25,1,experimento2-1
-59.7959,0.25604,1.25,1,experimento2-1
-56.3801,0.049192,2.0,1,experimento2-1
-56.3801,0.049192,2.0,1,experimento2-1
-56.3801,0.049192,2.0,1,experimento2-1
-56.3801,0.049192,2.0,1,experimento2-1
-56.3801,0.049192,2.0,1,experimento2-1
-59.6169,0.022882,2.5,1,experimento2-1
-59.6169,0.022882,2.5,1,experimento2-1
-59.6169,0.022882,2.5,1,experimento2-1
-59.6169,0.022882,2.5,1,experimento2-1
-59.6169,0.022882,2.5,1,experimento2-1
-57.6022,0.005385,4.0,1,experimento2-1
-57.6022,0.005385,4.0,1,experimento2-1
-57.6022,0.005385,4.0,1,experimento2-1
-57.6022,0.005385,4.0,1,experimento2-1
-57.6022,0.005385,4.0,1,experimento2-1
-62.6048,0.00285,5.0,1,experimento2-1
-62.6048,0.00285,5.0,1,experimento2-1
-62.6048,0.00285,5.0,1,experimento2-1
-62.6048,0.00285,5.0,1,experimento2-1
-62.6048,0.00285,5.0,1,experimento2-1
-60.9975,0.00159,6.25,1,experimento2-1
-60.9975,0.00159,6.25,1,experimento2-1
-60.9975,0.00159,6.25,1,experimento2-1
-60.9975,0.00159,6.25,1,experimento2-1
-60.9975,0.00159,6.25,1,experimento2-1
-74.9765,0.000614,10.0,1,experimento2-1
-74.9765,0.000614,10.0,1,experimento2-1
-74.9765,0.000614,10.0,1,experimento2-1
-74.9765,0.000614,10.0,1,experimento2-1
-74.9765,0.000614,10.0,1,experimento2-1
-67.3375,0.00042,12.5,1,experimento2-1
-67.3375,0.00042,12.5,1,experimento2-1
-67.3375,0.00042,12.5,1,experimento2-1
-67.3375,0.00042,12.5,1,experimento2-1
-67.3375,0.00042,12.5,1,experimento2-1
