cpt,delta,h,method,name
382.555,4.24374,0.5,0,experimento1-1
385.458,0.709699,0.8,0,experimento1-1
394.17,0.311678,1.0,0,experimento1-1
394.17,0.137795,1.25,0,experimento1-1
382.555,0.028438,2.0,0,experimento1-1
365.105,0.01382,2.5,0,experimento1-1
385.458,0.003815,4.0,0,experimento1-1
257.424,0.00214,5.0,0,experimento1-1
253.761,0.001342,6.25,0,experimento1-1
218.227,0.000502,10.0,0,experimento1-1
184.236,0.000366,12.5,0,experimento1-1
359.325,0.000157,50.0,0,experimento1-1
382.555,8.448418,0.5,1,experimento1-1
385.458,1.359135,0.8,1,experimento1-1
394.17,0.579556,1.0,1,experimento1-1
394.17,0.257187,1.25,1,experimento1-1
382.555,0.047363,2.0,1,experimento1-1
365.105,0.022258,2.5,1,experimento1-1
385.458,0.005278,4.0,1,experimento1-1
257.424,0.002827,5.0,1,experimento1-1
253.761,0.001668,6.25,1,experimento1-1
218.227,0.000596,10.0,1,experimento1-1
184.236,0.000412,12.5,1,experimento1-1
359.325,0.000161,50.0,1,experimento1-1
